raw_description,cleaned_description,text_length,num_keywords,citation_counts,category_Copyright,category_Patent,category_Trademark,price
A revolutionary process for drug delivery using nanotechnology.,a revolutionary process for drug delivery using nanotechnology.,118,15,22,0,0,1,2909.66
A revolutionary process for drug delivery using nanotechnology.,a revolutionary process for drug delivery using nanotechnology.,105,8,27,0,1,0,4387.47
A creative artwork capturing modern urban life.,a creative artwork capturing modern urban life.,66,6,7,0,0,1,4125.49
An efficient method for renewable energy generation using solar power.,an efficient method for renewable energy generation using solar power.,56,12,3,1,0,0,1912.06
An innovative app interface design for seamless user experience.,an innovative app interface design for seamless user experience.,75,5,12,1,0,0,2148.82
An original music composition blending classical and modern styles.,an original music composition blending classical and modern styles.,72,14,42,0,0,1,2509.24
An advanced algorithm for image recognition in security systems.,an advanced algorithm for image recognition in security systems.,57,10,27,0,0,1,1903.95
An original music composition blending classical and modern styles.,an original music composition blending classical and modern styles.,83,12,3,1,0,0,2329.84
An advanced algorithm for image recognition in security systems.,an advanced algorithm for image recognition in security systems.,65,7,12,0,0,1,1758.15
An innovative app interface design for seamless user experience.,an innovative app interface design for seamless user experience.,61,5,18,0,1,0,1485.0
A revolutionary process for drug delivery using nanotechnology.,a revolutionary process for drug delivery using nanotechnology.,120,14,45,0,0,1,1114.4
A revolutionary process for drug delivery using nanotechnology.,a revolutionary process for drug delivery using nanotechnology.,79,13,43,1,0,0,4077.52
An original music composition blending classical and modern styles.,an original music composition blending classical and modern styles.,78,6,25,0,1,0,4276.34
A unique brand logo for a luxury fashion company.,a unique brand logo for a luxury fashion company.,108,7,35,1,0,0,2822.88
A novel method for battery efficiency in electric vehicles.,a novel method for battery efficiency in electric vehicles.,113,7,7,0,1,0,3775.12
An original music composition blending classical and modern styles.,an original music composition blending classical and modern styles.,60,7,13,0,1,0,2556.63
A creative artwork capturing modern urban life.,a creative artwork capturing modern urban life.,104,7,31,0,1,0,2959.31
A revolutionary process for drug delivery using nanotechnology.,a revolutionary process for drug delivery using nanotechnology.,66,6,5,0,0,1,1268.29
A revolutionary process for drug delivery using nanotechnology.,a revolutionary process for drug delivery using nanotechnology.,116,14,15,0,1,0,2794.39
A unique brand logo for a luxury fashion company.,a unique brand logo for a luxury fashion company.,118,11,47,0,1,0,4312.61
A unique design for a wearable health tracker.,a unique design for a wearable health tracker.,75,12,9,0,0,1,4467.16
A novel method for battery efficiency in electric vehicles.,a novel method for battery efficiency in electric vehicles.,68,6,17,0,1,0,806.75
An original music composition blending classical and modern styles.,an original music composition blending classical and modern styles.,71,12,46,0,0,1,1800.1
A unique brand logo for a luxury fashion company.,a unique brand logo for a luxury fashion company.,101,5,40,0,1,0,4846.72
A unique brand logo for a luxury fashion company.,a unique brand logo for a luxury fashion company.,57,5,5,1,0,0,1884.21
A unique brand logo for a luxury fashion company.,a unique brand logo for a luxury fashion company.,57,7,45,0,0,1,2278.94
A novel method for battery efficiency in electric vehicles.,a novel method for battery efficiency in electric vehicles.,55,13,9,0,0,1,3504.19
A revolutionary process for drug delivery using nanotechnology.,a revolutionary process for drug delivery using nanotechnology.,118,8,49,0,1,0,2441.41
A novel method for battery efficiency in electric vehicles.,a novel method for battery efficiency in electric vehicles.,72,11,29,0,0,1,1305.39
A creative artwork capturing modern urban life.,a creative artwork capturing modern urban life.,86,14,24,1,0,0,2580.8
An advanced algorithm for image recognition in security systems.,an advanced algorithm for image recognition in security systems.,96,13,3,1,0,0,3519.49
An efficient method for renewable energy generation using solar power.,an efficient method for renewable energy generation using solar power.,96,13,10,0,0,1,3410.81
A unique design for a wearable health tracker.,a unique design for a wearable health tracker.,120,15,11,1,0,0,3306.21
An efficient method for renewable energy generation using solar power.,an efficient method for renewable energy generation using solar power.,103,9,36,0,1,0,4859.83
An innovative system for real-time data encryption.,an innovative system for real-time data encryption.,100,10,11,0,0,1,2848.75
A unique design for a wearable health tracker.,a unique design for a wearable health tracker.,67,8,46,1,0,0,2631.59
A novel method for battery efficiency in electric vehicles.,a novel method for battery efficiency in electric vehicles.,52,12,49,0,1,0,1041.93
An advanced algorithm for image recognition in security systems.,an advanced algorithm for image recognition in security systems.,66,9,39,0,0,1,4077.76
A creative artwork capturing modern urban life.,a creative artwork capturing modern urban life.,93,7,44,1,0,0,2253.0
A unique design for a wearable health tracker.,a unique design for a wearable health tracker.,61,9,7,1,0,0,3531.19
An advanced algorithm for image recognition in security systems.,an advanced algorithm for image recognition in security systems.,80,5,37,0,1,0,3437.65
An innovative system for real-time data encryption.,an innovative system for real-time data encryption.,52,12,37,0,1,0,2788.15
An innovative app interface design for seamless user experience.,an innovative app interface design for seamless user experience.,109,12,50,0,1,0,3673.43
A unique brand logo for a luxury fashion company.,a unique brand logo for a luxury fashion company.,118,10,18,0,1,0,3096.2
A creative artwork capturing modern urban life.,a creative artwork capturing modern urban life.,113,5,38,0,0,1,2725.47
An innovative app interface design for seamless user experience.,an innovative app interface design for seamless user experience.,119,5,44,1,0,0,3274.83
An advanced algorithm for image recognition in security systems.,an advanced algorithm for image recognition in security systems.,63,12,25,0,0,1,3889.34
An innovative system for real-time data encryption.,an innovative system for real-time data encryption.,116,9,32,0,0,1,4200.25
A revolutionary process for drug delivery using nanotechnology.,a revolutionary process for drug delivery using nanotechnology.,58,6,6,0,1,0,3824.14
A unique design for a wearable health tracker.,a unique design for a wearable health tracker.,99,7,38,1,0,0,4102.23
A revolutionary process for drug delivery using nanotechnology.,a revolutionary process for drug delivery using nanotechnology.,62,13,32,0,0,1,3512.09
An efficient method for renewable energy generation using solar power.,an efficient method for renewable energy generation using solar power.,115,10,37,1,0,0,4503.99
A unique brand logo for a luxury fashion company.,a unique brand logo for a luxury fashion company.,66,7,1,1,0,0,4288.92
A creative artwork capturing modern urban life.,a creative artwork capturing modern urban life.,114,5,45,0,0,1,3247.29
An original music composition blending classical and modern styles.,an original music composition blending classical and modern styles.,120,12,15,0,0,1,1168.09
A unique brand logo for a luxury fashion company.,a unique brand logo for a luxury fashion company.,59,8,2,0,0,1,516.63
An efficient method for renewable energy generation using solar power.,an efficient method for renewable energy generation using solar power.,112,6,13,0,1,0,4510.49
An innovative system for real-time data encryption.,an innovative system for real-time data encryption.,99,10,24,1,0,0,4815.5
An innovative system for real-time data encryption.,an innovative system for real-time data encryption.,79,8,8,0,0,1,1999.38
An efficient method for renewable energy generation using solar power.,an efficient method for renewable energy generation using solar power.,86,6,15,0,1,0,2830.11
An original music composition blending classical and modern styles.,an original music composition blending classical and modern styles.,82,11,21,0,0,1,942.34
An original music composition blending classical and modern styles.,an original music composition blending classical and modern styles.,90,12,20,0,1,0,2211.39
An original music composition blending classical and modern styles.,an original music composition blending classical and modern styles.,60,9,9,0,1,0,2194.36
A novel method for battery efficiency in electric vehicles.,a novel method for battery efficiency in electric vehicles.,113,11,26,1,0,0,1795.69
An innovative system for real-time data encryption.,an innovative system for real-time data encryption.,65,7,3,0,1,0,2734.13
An original music composition blending classical and modern styles.,an original music composition blending classical and modern styles.,60,6,45,1,0,0,3943.15
An innovative system for real-time data encryption.,an innovative system for real-time data encryption.,89,7,28,1,0,0,735.0
An innovative app interface design for seamless user experience.,an innovative app interface design for seamless user experience.,76,6,3,1,0,0,2932.23
A unique design for a wearable health tracker.,a unique design for a wearable health tracker.,105,13,18,0,1,0,2102.56
An advanced algorithm for image recognition in security systems.,an advanced algorithm for image recognition in security systems.,62,5,13,0,1,0,3857.47
A revolutionary process for drug delivery using nanotechnology.,a revolutionary process for drug delivery using nanotechnology.,69,9,1,0,1,0,2327.48
An innovative app interface design for seamless user experience.,an innovative app interface design for seamless user experience.,66,12,47,0,0,1,4228.21
A creative artwork capturing modern urban life.,a creative artwork capturing modern urban life.,55,13,27,0,1,0,4501.63
A revolutionary process for drug delivery using nanotechnology.,a revolutionary process for drug delivery using nanotechnology.,72,7,23,0,1,0,1444.04
A unique brand logo for a luxury fashion company.,a unique brand logo for a luxury fashion company.,120,7,42,0,0,1,2569.35
An advanced algorithm for image recognition in security systems.,an advanced algorithm for image recognition in security systems.,71,6,26,0,0,1,3276.38
An advanced algorithm for image recognition in security systems.,an advanced algorithm for image recognition in security systems.,90,7,13,0,0,1,4868.83
A unique brand logo for a luxury fashion company.,a unique brand logo for a luxury fashion company.,107,15,33,1,0,0,2459.83
A unique brand logo for a luxury fashion company.,a unique brand logo for a luxury fashion company.,108,11,31,0,0,1,3591.84
A novel method for battery efficiency in electric vehicles.,a novel method for battery efficiency in electric vehicles.,106,9,46,0,0,1,564.92
An advanced algorithm for image recognition in security systems.,an advanced algorithm for image recognition in security systems.,112,15,38,1,0,0,1804.96
An advanced algorithm for image recognition in security systems.,an advanced algorithm for image recognition in security systems.,111,15,9,0,0,1,2289.41
An innovative system for real-time data encryption.,an innovative system for real-time data encryption.,61,13,26,0,1,0,3506.11
An original music composition blending classical and modern styles.,an original music composition blending classical and modern styles.,52,5,32,0,0,1,4430.68
An efficient method for renewable energy generation using solar power.,an efficient method for renewable energy generation using solar power.,84,12,0,1,0,0,3203.21
An original music composition blending classical and modern styles.,an original music composition blending classical and modern styles.,54,7,8,0,0,1,2257.06
An efficient method for renewable energy generation using solar power.,an efficient method for renewable energy generation using solar power.,114,8,29,0,0,1,4752.25
A creative artwork capturing modern urban life.,a creative artwork capturing modern urban life.,111,10,8,0,0,1,3389.16
A creative artwork capturing modern urban life.,a creative artwork capturing modern urban life.,114,12,16,0,0,1,3023.04
A creative artwork capturing modern urban life.,a creative artwork capturing modern urban life.,83,13,46,0,1,0,4900.95
An innovative app interface design for seamless user experience.,an innovative app interface design for seamless user experience.,113,10,32,0,0,1,4285.59
An advanced algorithm for image recognition in security systems.,an advanced algorithm for image recognition in security systems.,98,9,22,0,0,1,1257.91
An innovative app interface design for seamless user experience.,an innovative app interface design for seamless user experience.,73,15,38,1,0,0,1543.73
An original music composition blending classical and modern styles.,an original music composition blending classical and modern styles.,111,13,46,1,0,0,1410.74
A unique brand logo for a luxury fashion company.,a unique brand logo for a luxury fashion company.,85,13,0,0,0,1,1215.23
An innovative system for real-time data encryption.,an innovative system for real-time data encryption.,79,9,45,1,0,0,4698.34
An innovative system for real-time data encryption.,an innovative system for real-time data encryption.,68,13,12,0,1,0,4567.04
An efficient method for renewable energy generation using solar power.,an efficient method for renewable energy generation using solar power.,87,8,29,1,0,0,4077.61
An efficient method for renewable energy generation using solar power.,an efficient method for renewable energy generation using solar power.,65,9,46,1,0,0,3088.03
An advanced algorithm for image recognition in security systems.,an advanced algorithm for image recognition in security systems.,54,10,49,0,0,1,4925.11
A creative artwork capturing modern urban life.,a creative artwork capturing modern urban life.,54,14,4,0,1,0,3586.82
An efficient method for renewable energy generation using solar power.,an efficient method for renewable energy generation using solar power.,75,5,37,0,0,1,1344.43
A unique brand logo for a luxury fashion company.,a unique brand logo for a luxury fashion company.,120,6,43,1,0,0,3472.93
An innovative system for real-time data encryption.,an innovative system for real-time data encryption.,55,11,22,1,0,0,1725.57
An original music composition blending classical and modern styles.,an original music composition blending classical and modern styles.,84,12,16,0,0,1,4102.5
A creative artwork capturing modern urban life.,a creative artwork capturing modern urban life.,97,13,47,0,1,0,2957.23
A creative artwork capturing modern urban life.,a creative artwork capturing modern urban life.,65,11,49,0,0,1,2992.35
A novel method for battery efficiency in electric vehicles.,a novel method for battery efficiency in electric vehicles.,61,7,44,1,0,0,2276.17
An efficient method for renewable energy generation using solar power.,an efficient method for renewable energy generation using solar power.,88,14,34,0,0,1,4654.68
An innovative app interface design for seamless user experience.,an innovative app interface design for seamless user experience.,76,15,28,0,0,1,913.43
An advanced algorithm for image recognition in security systems.,an advanced algorithm for image recognition in security systems.,55,13,50,0,0,1,3687.54
An innovative app interface design for seamless user experience.,an innovative app interface design for seamless user experience.,54,6,46,1,0,0,3907.67
An innovative app interface design for seamless user experience.,an innovative app interface design for seamless user experience.,93,5,41,0,1,0,1470.04
A revolutionary process for drug delivery using nanotechnology.,a revolutionary process for drug delivery using nanotechnology.,100,7,22,0,1,0,799.47
A unique design for a wearable health tracker.,a unique design for a wearable health tracker.,81,7,22,1,0,0,2613.98
An innovative app interface design for seamless user experience.,an innovative app interface design for seamless user experience.,51,5,19,0,0,1,3524.31
A novel method for battery efficiency in electric vehicles.,a novel method for battery efficiency in electric vehicles.,111,15,18,1,0,0,4482.83
An innovative system for real-time data encryption.,an innovative system for real-time data encryption.,118,11,30,1,0,0,3970.59
An original music composition blending classical and modern styles.,an original music composition blending classical and modern styles.,58,10,19,1,0,0,2883.21
